nome,codbairro,regiao_adm,codra,area_plane,Total_de_pessoas_2010,Total_de_pessoas_2022,diferenca_de_pessoas,Total_de_domicilios_2022,Total_DP_2022,Total_DC,Total_DP_Ocup_2010,Total_DP_Ocup_2022,diferenca_de_DP,Shape_Length,Shape_Area,OBJECTID_1
Grumari,133,BARRA DA TIJUCA,24,4,167,184,17,85,85,0,44,68,24,23375.3740383181,9598851.46177797,1
Jardim Sulacap,137,REALENGO,33,5,13062,14396,1334,6389,6387,2,4390,5481,1091,14519.3284239418,7869225.30882365,2
Saúde,001,PORTUARIA,1,1,2749,1876,-873,1001,988,13,946,801,-145,2646.22056769347,363818.583960534,3
Magalhães Bastos,138,REALENGO,33,5,24430,20938,-3492,9340,9336,4,8092,8045,-47,6902.6639444557,1975954.60138644,4
Realengo,139,REALENGO,33,5,180123,165881,-14242,72817,72801,16,59259,63429,4170,30896.8661660066,26054267.7784231,5
Sepetiba,150,SANTA CRUZ,19,5,56575,58738,2163,28922,28879,43,17845,20768,2923,21108.8494942958,11621330.8138492,6
Padre Miguel,140,BANGU,17,5,64228,61254,-2974,26090,26090,0,21152,22225,1073,16274.2102798449,4865804.92019005,7
Senador Camará,142,BANGU,17,5,100169,101980,1811,42267,42258,9,32214,39366,7152,25798.2415365183,16908650.1513417,8
Guaratiba,151,GUARATIBA,26,5,107369,154125,46756,72260,72246,14,32282,55404,23122,88693.9957085015,131786941.570838,9
Barra de Guaratiba,152,GUARATIBA,26,5,3577,4755,1178,3091,3090,1,1180,1804,624,27508.2237497209,9442055.27327963,10
Rocinha,154,ROCINHA,27,2,69356,70894,1538,32330,32329,1,23404,29851,6447,6120.75345231762,1437198.57715932,11
Santíssimo,143,CAMPO GRANDE,18,5,41458,48187,6729,19641,19629,12,13129,17883,4754,15804.0407195392,8319636.3345545,12
Senador Vasconcelos,145,CAMPO GRANDE,18,5,30600,32765,2165,13648,13647,1,9830,12300,2470,12846.8250855761,6441786.35056811,13
Paquetá,013,PAQUETA,21,1,3361,3486,125,2641,2636,5,1253,1544,291,24841.4599844384,1705689.11782654,14
Santa Teresa,014,SANTA TEREZA,23,1,40926,36252,-4674,19716,19690,26,15349,16220,871,27344.8411046267,5157142.20290397,15
Flamengo,015,BOTAFOGO,4,2,50043,43099,-6944,26160,26144,16,23151,21667,-1484,6665.3491625651,1646257.96377791,16
Cosmos,147,CAMPO GRANDE,18,5,77007,95484,18477,40925,40921,4,24093,35144,11051,17686.7491414717,11261348.9744423,17
Paciência,148,SANTA CRUZ,19,5,94626,104884,10258,44672,44665,7,28688,37729,9041,34307.6121150518,27418044.1754382,18
Santa Cruz,149,SANTA CRUZ,19,5,217333,249130,31797,112836,112773,63,66156,89387,23231,65717.4793410213,125044629.037668,19
Pedra de Guaratiba,153,GUARATIBA,26,5,9488,11950,2462,6623,6621,2,3086,4575,1489,8804.335634874,3636921.88223451,20
Parque Colúmbia,159,PAVUNA,25,3,9202,8222,-980,3580,3580,0,2935,2959,24,6179.27767714014,1517138.54183438,21
Jacarezinho,155,JACAREZINHO,28,3,37839,35348,-2491,14703,14702,1,11368,13088,1720,6319.11486441202,943876.623960936,22
Urca,022,BOTAFOGO,4,2,7061,5215,-1846,2627,2622,5,2551,2146,-405,14138.5239104272,2319007.98395236,23
Complexo do Alemão,156,COMPLEXO DO ALEMÃO,29,3,69143,54202,-14941,22686,22684,2,21048,19893,-1155,11998.4524328701,2960863.12474693,24
Vasco da Gama,158,SAO CRISTOVAO,7,1,15482,14576,-906,7200,7197,3,5347,6115,768,4349.9829054857,863076.834316144,25
