iter	Passed	Remaining
0	176	176686
1	218	109171
2	280	93203
3	333	82932
4	384	76538
5	438	72660
6	478	67820
7	520	64504
8	558	61478
9	596	59048
10	631	56804
11	671	55281
12	748	56825
13	791	55765
14	851	55911
15	904	55645
16	966	55865
17	1023	55823118	1072	55360119	1118	54783220	1167	54432221	1220	54241222	1257	53433223	1303	53005224	1362	53122225	1425	53400226	1496	53936227	1545	53643228	1596	53438229	1645	5319230	1721	53815
31	1795	54310
32	1853	54320
33	1905	54148
34	1959	54033
35	2014	53935
336	2042	53169337	2096	53069338	2151	53021339	2213	53116440	2264	52966441	2326	53075442	2385	53090
43	2426	52730
44	2462	52250
45	2512	52114
46	2560	51925447	2611	51802448	2662	51665
49	2715	51589
50	2762	51409551	2826	51525
52	2915	52102
53	3000	52570
54	3063	52644
55	3148	53068
56	3260	53947
57	3319	53911
58	3389	54062
59	3463	54256
60	3536	54439
61	3603	54518
62	3673	54637
63	3752	54875
64	3826	55039
65	3881	54925
66	3929	54723
67	3978	54522
68	4036	54465
69	4107	54564
70	4149	54295
71	4198	54116
72	4258	54077
73	4302	53835
74	4342	53560
75	4377	53225
76	4410	52873
77	4445	52550
78	4483	52271
79	4520	51983
80	4556	51701
81	4597	51470
82	4632	51184
83	4666	50888
84	4699	50586
85	4756	50552
86	4842	50821
87	4880	50584
88	4913	50294
89	4959	50149
90	4967	49621
91	5067	50010
92	5064	49391
93	5097	49128
94	5130	48878
95	5167	48657
96	5206	48467
97	5242	48253
98	5283	48088
99	5323	47909
100	5360	47709
101	5394	47494
102	5427	47270
103	5462	47060
104	5497	46857
105	5533	46670
106	5567	46462
107	5604	46285
108	5638	46089
109	5693	46062
110	5740	45972
111	5786	45879
112	5854	45957
113	5910	45938
114	5999	46168
115	6050	46110
116	6088	45951
117	6127	45802
118	6168	45667
119	6216	45587
120	6263	45498
121	6310	45415
122	6360	45350
123	6393	45166
124	6432	45024
125	6471	44889
126	6528	44877
127	6575	44795
128	6624	44726
129	6683	44725
130	6736	44688
131	6792	44665
132	6854	44686
133	6923	44746
134	6985	44761
135	7062	44870
136	7116	44830
137	7166	44764
138	7213	44683
139	7276	44699
140	7349	44773
141	7412	44786
142	7481	44836
143	7546	44857
144	7601	44824
145	7664	44830
146	7720	44801
147	7780	44790
148	7841	44786
149	7885	44683
150	7935	44619
151	8041	44865
152	8098	44834
153	8148	44765
154	8208	44747
155	8295	44878
156	8324	44697
157	8399	44761
158	8468	44793
159	8555	44917
160	8613	44886
161	8681	44905
162	8743	44898
163	8804	44879
164	8847	44772
165	8904	44739
166	8959	44690
167	9008	44615
168	9048	44493
169	9080	44332
170	9134	44282
171	9177	44178
172	9219	44073
173	9265	43984
174	9310	43890
175	9344	43751
176	9379	43613
177	9429	43543
178	9467	43425
179	9506	43307
180	9555	43239
181	9609	43190
182	9664	43147
183	9724	43127
184	9774	43060
185	9835	43044
186	9906	43071
187	9967	43051
188	10030	43041
189	10096	43042
190	10165	43055
191	10209	42965
192	10263	42913
193	10316	42861
194	10365	42789
195	10414	42721
196	10464	42655
197	10508	42562
198	10552	42476
199	10598	42395
200	10638	42289
201	10676	42177
202	10728	42122
203	10769	42022
204	10810	41923
205	10854	41835
206	10904	41773
207	10942	41664
208	10990	41595
209	11036	41517
210	11075	41414
211	11115	41315
212	11153	41209
213	11198	41129
214	11241	41043
215	11302	41024
216	11339	40917
217	11381	40825
218	11424	40742
219	11463	40645
220	11505	40555
221	11553	40489
222	11593	40396
223	11637	40314
224	11680	40234
225	11722	40145
226	11761	40052
227	11806	39976
228	11841	39867
229	11885	39789
230	11935	39732
231	11979	39656
232	12025	39586
233	12077	39534
234	12125	39472
235	12169	39395
236	12211	39314
237	12250	39222
238	12289	39131
239	12328	39038
240	12382	38997
241	12423	38912
242	12466	38836
243	12507	38753
244	12544	38658
245	12587	38579
246	12625	38490
247	12663	38399
248	12708	38329
249	12748	38245
250	12790	38167
251	12832	38091
252	12873	38010
253	12910	37918
254	12958	37858
255	13004	37794
256	13041	37703
257	13087	37639
258	13164	37663
259	13227	37647
260	13312	37692
261	13374	37672
262	13432	37642
263	13496	37626
264	13537	37546
265	13590	37500
266	13623	37401
267	13669	37335
268	13706	37246
269	13751	37178
270	13792	37101
271	13833	37025
272	13870	36936
273	13907	36848
274	13947	36769
275	13985	36685
276	14037	36640
277	14073	36550
278	14107	36456
279	14152	36391
280	14193	36316
281	14243	36265
282	14295	36218
283	14353	36186
284	14390	36103
285	14434	36036
286	14485	35985
287	14521	35901
288	14557	35815
289	14600	35745
290	14643	35677
291	14688	35613
292	14750	35593
293	14794	35526
294	14837	35458
295	14870	35368
296	14911	35296
297	14959	35240
298	15000	35167
299	15041	35097
300	15080	35020
301	15132	34975
302	15171	34899
303	15210	34825
304	15249	34747
305	15296	34693
306	15344	34637
307	15383	34563
308	15424	34492
309	15464	34420
310	15520	34384
311	15557	343312312	15596	342313313	15645	34180
314	15688	34116
315	15739	34069
316	15781	34003
317	15820	33930
318	15856	33850
319	15897	33781
320	15941	33719
321	15982	33652
322	16020	33578
323	16064	33516
324	16102	33444
325	16145	33379
326	16187	33316
327	16226	33244
328	16268	33179
329	16312	33119
330	16353	33053
331	16408	33015
332	16460	32970
333	16512	32925
334	16560	32874
335	16611	32826
336	16665	32787
337	16713	32735
338	16763	32687
339	16813	32638
340	16859	32582
341	16913	32540
342	16945	32458
343	17017	324344344	17064	32398
345	17107	32335
346	17151	32277
347	17195	32216
348	17232	32144
349	17274	320350350	17314	320351351	17352	319352352	17399	318353353	17442	318354354	17490	317355355	17561	317356356	17639	317357357	17693	317358358	17738	316359359	17788	316360360	17822	315361361	17865	314362362	17911	314363363	17961	313364364	18008	313365365	18049	312366366	18093	312367367	18134	311368368	18176	310369369	18221	310370370	18265	309371371	18303	308372372	18345	308373373	18386	30775
374	18424	307375375	18476	306376376	18524	306377377	18564	30548
378	18604	30483
379	18641	30415
380	18695	30373
381	18739	30317
382	18777	30250
383	18827	30203
384	18873	30148
385	18933	30117
386	18991	30081
